Cliente,Auto,Ubicación,Fecha,Pago,Seguro Empresa
2184,58,273,27/03/2018,Credito,SI
2761,144,9,28/01/2015,Credito,SI
1486,136,7,30/04/2017,Efectivo,SI
2059,94,172,05/09/2018,Credito,NO
3769,121,189,21/04/2016,Credito,NO
3496,23,474,02/10/2018,Efectivo,NO
841,148,234,23/10/2015,Efectivo,NO
2927,51,84,08/09/2016,Efectivo,NO
1367,45,246,15/02/2015,Credito,SI
1925,128,208,16/02/2017,Efectivo,SI
1341,35,338,29/02/2016,Efectivo,NO
2485,8,239,05/12/2016,Efectivo,SI
2468,57,494,22/02/2019,Efectivo,SI
2999,96,303,16/07/2017,Efectivo,NO
853,76,373,21/04/2016,Efectivo,SI
1758,66,136,23/08/2015,Efectivo,NO
3465,84,199,30/07/2019,Efectivo,NO
3346,112,195,09/03/2017,Credito,SI
138,148,22,28/08/2015,Credito,SI
3070,139,555,09/07/2017,Credito,SI
2345,144,376,07/05/2019,Credito,NO
2442,156,256,18/09/2016,Efectivo,NO
1146,58,568,25/08/2015,Efectivo,NO
585,33,573,31/07/2015,Credito,SI
1574,2,462,03/02/2016,Efectivo,NO
971,83,132,02/03/2018,Efectivo,NO
1945,41,549,08/07/2018,Credito,SI
1042,101,366,03/11/2015,Efectivo,SI
188,81,374,08/04/2016,Credito,SI
2074,73,150,16/08/2017,Credito,SI
3698,142,510,19/10/2017,Credito,SI
1763,61,279,06/04/2018,Credito,SI
2832,118,394,06/04/2018,Credito,SI
1739,4,55,07/07/2017,Credito,NO
3495,36,29,06/10/2018,Efectivo,NO
3281,87,248,21/05/2018,Credito,NO
1443,82,518,27/04/2019,Efectivo,SI
1330,141,166,26/05/2015,Efectivo,NO
2704,16,555,16/02/2015,Efectivo,NO
1275,144,315,16/02/2018,Credito,SI
1864,40,172,31/10/2016,Efectivo,NO
1942,29,116,10/09/2019,Efectivo,SI
2861,148,527,13/02/2017,Credito,SI
2500,55,567,18/10/2019,Efectivo,NO
182,42,100,03/03/2019,Efectivo,NO
3316,103,455,17/07/2015,Credito,SI
219,53,500,09/08/2016,Efectivo,NO
772,69,74,17/10/2017,Efectivo,NO
3149,101,95,07/04/2019,Credito,SI
3762,53,335,29/01/2017,Credito,SI
1562,25,77,20/10/2017,Credito,NO
2793,25,193,03/10/2015,Efectivo,SI
561,13,197,26/07/2018,Efectivo,NO
1862,5,564,29/09/2017,Credito,SI
3959,16,506,15/07/2018,Efectivo,SI
1558,44,509,16/12/2016,Credito,SI
3119,113,548,25/03/2016,Efectivo,NO
159,6,98,01/10/2016,Efectivo,NO
2029,125,429,14/03/2015,Credito,SI
2647,105,223,23/08/2017,Efectivo,NO
943,8,363,11/05/2017,Efectivo,NO
3342,69,349,17/02/2018,Efectivo,NO
287,34,111,14/03/2018,Efectivo,SI
11,120,96,21/02/2019,Credito,SI
1684,37,459,26/07/2018,Credito,SI
1049,129,565,27/04/2018,Efectivo,NO
2529,127,62,09/02/2019,Efectivo,SI
3383,62,88,05/12/2018,Efectivo,SI
3934,4,87,31/03/2017,Efectivo,SI
2331,149,9,19/07/2016,Credito,SI
1515,128,145,31/10/2015,Credito,SI
1501,117,422,16/12/2017,Credito,SI
2770,68,555,01/10/2015,Credito,SI
2264,46,57,23/06/2016,Credito,SI
3957,70,301,23/01/2018,Credito,SI
876,59,126,09/01/2015,Efectivo,SI
1845,135,537,29/12/2015,Credito,NO
3596,133,221,19/07/2017,Efectivo,NO
1057,128,105,03/09/2017,Efectivo,NO
3572,109,13,05/02/2016,Credito,SI
1851,150,238,24/05/2017,Efectivo,NO
395,124,247,17/06/2018,Efectivo,SI
1846,138,213,08/02/2018,Efectivo,SI
3410,75,36,16/06/2015,Credito,NO
1966,102,321,19/01/2016,Credito,SI
380,131,267,23/03/2018,Efectivo,SI
3287,59,572,10/07/2019,Efectivo,SI
2178,97,52,20/08/2015,Credito,SI
290,41,593,14/10/2018,Efectivo,SI
